"id";"nome";"regional_id";"cidade_id";"territorio"
"346";"VILA JARDIM SÃO JOSÉ";"8";"2302";"P4"
"347";"VILA MADRE GERTRUDES I";"7";"2302";"O2"
"348";"VILA MADRE GERTRUDES V";"7";"2302";"O2"
"349";"VILA MANGUEIRAS";"1";"2302";"B5"
"350";"VILA MARIA";"4";"2302";"NE2"
"351";"VILA NOVA GAMELEIRA I";"7";"2302";"O2"
"352";"VILA NOVO SÃO LUCAS";"2";"2302";"CS3"
"353";"VILA PARIS";"2";"2302";"CS4"
"354";"VILA PINHO";"1";"2302";"B5"
"355";"VILA PIRATININGA";"1";"2302";"B3"
"356";"VILA PRIMEIRO DE MAIO";"6";"2302";"N4"
"357";"VILA RICA";"8";"2302";"P3"
"358";"VILA SANTA ROSA";"8";"2302";"P3"
"359";"VILA SÃO GERALDO";"3";"2302";"L1"
"360";"VILA SÃO JOÃO BATISTA";"9";"2302";"VN3"
"361";"VILA SÃO PAULO";"4";"2302";"NE3"
"362";"VILA SÃO RAFAEL";"3";"2302";"L3"
"363";"VILA SUMARÉ";"5";"2302";"NO1"
"364";"VILA SUZANA I";"8";"2302";"P3"
"365";"VILA TRINTA E UM DE MARÇO";"5";"2302";"NO3"
"366";"VILA UNIÃO";"3";"2302";"L3"
"367";"VILA VISTA ALEGRE";"7";"2302";"O2"
"368";"VISTA ALEGRE";"7";"2302";"O2"
"369";"VISTA DO SOL";"4";"2302";"NE1"
"370";"VITÓRIA";"4";"2302";"NE2"
"371";"XODÓ-MARIZE";"6";"2302";"N1"
"372";"ZILAH SPÓSITO";"6";"2302";"N1"
