"id";"nome";"uf"
"3910";"ALTO PIQUIRI";"PR"
"2259";"ALTO RIO DOCE";"MG"
"3095";"ALTO RIO NOVO";"ES"
"895";"ALTO SANTO";"CE"
"5146";"ALTO TAQUARI";"MT"
"3908";"ALTONIA";"PR"
"673";"ALTOS";"PI"
"3271";"ALUMINIO";"SP"
"75";"ALVARAES";"AM"
"2260";"ALVARENGA";"MG"
"3272";"ALVARES FLORENCE";"SP"
"3273";"ALVARES MACHADO";"SP"
"3274";"ALVARO DE CARVALHO";"SP"
"3275";"ALVINLANDIA";"SP"
"2261";"ALVINOPOLIS";"MG"
"315";"ALVORADA";"TO"
"4604";"ALVORADA";"RS"
"25";"ALVORADA D'OESTE";"RO"
"2262";"ALVORADA DE MINAS";"MG"
"674";"ALVORADA DO GURGUEIA";"PI"
"5276";"ALVORADA DO NORTE";"GO"
"3911";"ALVORADA DO SUL";"PR"
"137";"AMAJARI";"RR"
"5064";"AMAMBAI";"MS"
"296";"AMAPA";"AP"
"459";"AMAPA DO MARANHAO";"MA"
"3912";"AMAPORA";"PR"
"1470";"AMARAJI";"PE"
"4605";"AMARAL FERRADOR";"RS"
"5277";"AMARALINA";"GO"
"675";"AMARANTE";"PI"
"460";"AMARANTE DO MARANHAO";"MA"
"1832";"AMARGOSA";"BA"
"76";"AMATURA";"AM"
"1833";"AMELIA RODRIGUES";"BA"
"1834";"AMERICA DOURADA";"BA"
"3276";"AMERICANA";"SP"
"5278";"AMERICANO DO BRASIL";"GO"
"3277";"AMERICO BRASILIENSE";"SP"
"3278";"AMERICO DE CAMPOS";"SP"
"4606";"AMETISTA DO SUL";"RS"
"896";"AMONTADA";"CE"
"5279";"AMORINOPOLIS";"GO"
"3279";"AMPARO";"SP"
"1247";"AMPARO";"PB"
"1747";"AMPARO DE SAO FRANCISCO";"SE"
"2263";"AMPARO DO SERRA";"MG"
"3913";"AMPERE";"PR"
"1647";"ANADIA";"AL"
"1835";"ANAGE";"BA"
"3914";"ANAHY";"PR"
"160";"ANAJAS";"PA"
"461";"ANAJATUBA";"MA"
"3280";"ANALANDIA";"SP"
"77";"ANAMA";"AM"
"316";"ANANAS";"TO"
"161";"ANANINDEUA";"PA"
"5280";"ANAPOLIS";"GO"
"162";"ANAPU";"PA"
"462";"ANAPURUS";"MA"
"5065";"ANASTACIO";"MS"
"5066";"ANAURILANDIA";"MS"
"4312";"ANCHIETA";"SC"
"3096";"ANCHIETA";"ES"
"1836";"ANDARAI";"BA"
"3915";"ANDIRA";"PR"
"1837";"ANDORINHA";"BA"
"2264";"ANDRADAS";"MG"
"3281";"ANDRADINA";"SP"
"4607";"ANDRE DA ROCHA";"RS"
"2266";"ANDRELANDIA";"MG"
"3282";"ANGATUBA";"SP"
"2267";"ANGELANDIA";"MG"
"5067";"ANGELICA";"MS"
"1471";"ANGELIM";"PE"
"4313";"ANGELINA";"SC"
"1838";"ANGICAL";"BA"
"676";"ANGICAL DO PIAUI";"PI"
"317";"ANGICO";"TO"
"1079";"ANGICOS";"RN"
"3167";"ANGRA DOS REIS";"RJ"
"1839";"ANGUERA";"BA"
"3916";"ANGULO";"PR"
"5281";"ANHANGUERA";"GO"
"3283";"ANHEMBI";"SP"
"3284";"ANHUMAS";"SP"
"5282";"ANICUNS";"GO"
"677";"ANISIO DE ABREU";"PI"
"4314";"ANITA GARIBALDI";"SC"
"4315";"ANITAPOLIS";"SC"
"78";"ANORI";"AM"
"4608";"ANTA GORDA";"RS"
"1840";"ANTAS";"BA"
"3917";"ANTONINA";"PR"
"897";"ANTONINA DO NORTE";"CE"
"678";"ANTONIO ALMEIDA";"PI"
"1841";"ANTONIO CARDOSO";"BA"
"2268";"ANTONIO CARLOS";"MG"
"4316";"ANTONIO CARLOS";"SC"
"2269";"ANTONIO DIAS";"MG"
"1842";"ANTONIO GONCALVES";"BA"
"5068";"ANTONIO JOAO";"MS"
"1080";"ANTONIO MARTINS";"RN"
"3918";"ANTONIO OLINTO";"PR"
"4609";"ANTONIO PRADO";"RS"
"2270";"ANTONIO PRADO DE MINAS";"MG"
"3285";"APARECIDA";"SP"
"1248";"APARECIDA";"PB"
"3286";"APARECIDA D'OESTE";"SP"
"5283";"APARECIDA DE GOIANIA";"GO"
"5284";"APARECIDA DO RIO DOCE";"GO"
"318";"APARECIDA DO RIO NEGRO";"TO"
"5069";"APARECIDA DO TABOADO";"MS"
"3168";"APERIBE";"RJ"
"3097";"APIACA";"ES"
"5147";"APIACAS";"MT"
"3287";"APIAI";"SP"
"463";"APICUM-ACU";"MA"
"4317";"APIUNA";"SC"
"1081";"APODI";"RN"
"1843";"APORA";"BA"
"5285";"APORE";"GO"
"1844";"APUAREMA";"BA"
"3919";"APUCARANA";"PR"
"79";"APUI";"AM"
"898";"APUIARES";"CE"
"1748";"AQUIDABA";"SE"
"5070";"AQUIDAUANA";"MS"
"899";"AQUIRAZ";"CE"
"4318";"ARABUTA";"SC"
"1249";"ARACAGI";"PB"
"2271";"ARACAI";"MG"
"1749";"ARACAJU";"SE"
"3288";"ARACARIGUAMA";"SP"
"1846";"ARACAS";"BA"
"900";"ARACATI";"CE"
"1845";"ARACATU";"BA"
"3289";"ARACATUBA";"SP"
"1847";"ARACI";"BA"
"2272";"ARACITABA";"MG"
"901";"ARACOIABA";"CE"
"1472";"ARACOIABA";"PE"
"3290";"ARACOIABA DA SERRA";"SP"
"3098";"ARACRUZ";"ES"
"5286";"ARACU";"GO"
"2273";"ARACUAI";"MG"
"5287";"ARAGARCAS";"GO"
"5288";"ARAGOIANIA";"GO"
"319";"ARAGOMINAS";"TO"
"320";"ARAGUACEMA";"TO"
"321";"ARAGUACU";"TO"
"5148";"ARAGUAIANA";"MT"
"322";"ARAGUAINA";"TO"
"5149";"ARAGUAINHA";"MT"
"464";"ARAGUANA";"MA"
"323";"ARAGUANA";"TO"
"5289";"ARAGUAPAZ";"GO"
"2274";"ARAGUARI";"MG"
"324";"ARAGUATINS";"TO"
"465";"ARAIOSES";"MA"
"5071";"ARAL MOREIRA";"MS"
"1848";"ARAMARI";"BA"
"4610";"ARAMBARE";"RS"
"466";"ARAME";"MA"
"3291";"ARAMINA";"SP"
"3292";"ARANDU";"SP"
"2275";"ARANTINA";"MG"
"3293";"ARAPEI";"SP"
