"id";"nome";"cidade_id";"regional_id";"territorio_id"
"274";"SANTA ROSA";"2302";"8";"35"
"275";"SANTA SOFIA";"2302";"7";"30"
"276";"SANTA TEREZA";"2302";"3";"12"
"277";"SANTA TEREZINHA";"2302";"8";"36"
"278";"SANTANA DO CAFEZAL";"2302";"2";"8"
"279";"SANTO AGOSTINHO";"2302";"2";"6"
"280";"SANTO ANDRÉ";"2302";"5";"24"
"281";"SANTO ANTÔNIO";"2302";"2";"9"
"282";"SÃO BENEDITO";"2302";"4";"20"
"283";"SÃO BENTO";"2302";"2";"9"
"284";"SÃO BERNARDO";"2302";"6";"17"
"285";"SÃO CRISTÓVÃO";"2302";"4";"22"
"287";"SÃO FRANCISCO";"2302";"8";"35"
"288";"SÃO FRANCISCO DAS CHAGAS";"2302";"5";"27"
"289";"SÃO GABRIEL";"2302";"4";"19"
"290";"SÃO GERALDO";"2302";"3";"11"
"291";"SÃO GONÇALO";"2302";"6";"18"
"292";"SÃO JOÃO";"2302";"1";"1"
"293";"SÃO JOÃO BATISTA";"2302";"9";"39"
"294";"SÃO JORGE II";"2302";"7";"30"
"295";"SÃO JORGE III";"2302";"7";"30"
"296";"SÃO JOSÉ";"2302";"8";"34"
"297";"SÃO LUCAS";"2302";"2";"7"
"298";"SÃO LUÍZ";"2302";"8";"34"
"299";"SÃO MARCOS";"2302";"4";"21"
"300";"SÃO PAULO";"2302";"4";"21"
"301";"SÃO PEDRO";"2302";"2";"9"
"302";"SÃO SALVADOR";"2302";"5";"26"
"303";"SÃO TOMÁZ";"2302";"6";"17"
"304";"SAUDADE";"2302";"3";"13"
"305";"SAVASSI";"2302";"2";"6"
"306";"SENHOR DOS PASSOS";"2302";"5";"24"
"307";"SERRA";"2302";"2";"7"
"309";"SERRA DO CURRAL";"2302";"1";"4"
"310";"SERRA VERDE";"2302";"9";"37"
"311";"SERRANO";"2302";"8";"36"
"312";"SILVEIRA";"2302";"4";"23"
"313";"SION";"2302";"2";"7"
"314";"SOLAR DO BARREIRO";"2302";"1";"4"
"315";"SOLIMÕES";"2302";"6";"16"
"316";"SUZANA";"2302";"8";"35"
"317";"TAQUARIL";"2302";"3";"14"
"318";"TEIXEIRA DIAS";"2302";"1";"2"
"319";"TIRADENTES";"2302";"4";"22"
"320";"TIROL";"2302";"1";"3"
"321";"TRÊS MARIAS";"2302";"4";"19"
"322";"TREVO";"2302";"8";"33"
"323";"TÚNEL DE IBIRITÉ";"2302";"1";"3"
"324";"TUPI A";"2302";"6";"16"
"325";"TUPI B";"2302";"6";"16"
"326";"UNIÃO";"2302";"4";"23"
"327";"UNIVERSO";"2302";"9";"40"
"328";"URCA";"2302";"8";"36"
"329";"VALE DO JATOBÁ";"2302";"1";"5"
"330";"VENDA NOVA";"2302";"9";"39"
"331";"VERA CRUZ";"2302";"3";"13"
"332";"VILA AEROPORTO";"2302";"6";"17"
"333";"VILA ANTENA";"2302";"7";"30"
"334";"VILA ANTENA MONTANHÊS";"2302";"8";"36"
"335";"VILA BANDEIRANTES";"2302";"2";"10"
"336";"VILA BARRAGEM SANTA LÚCIA";"2302";"2";"10"
"337";"VILA CALIFÓRNIA";"2302";"5";"26"
"338";"VILA CEMIG";"2302";"1";"4"
"339";"VILA CLÓRIS";"2302";"6";"17"
"341";"VILA COPACABANA";"2302";"9";"40"
"342";"VILA COQUEIRAL";"2302";"5";"26"
"343";"VILA DOS ANJOS";"2302";"9";"40"
"344";"VILA IPIRANGA";"2302";"4";"23"
"345";"VILA JARDIM MONTANHÊS";"2302";"8";"36"
"346";"VILA JARDIM SÃO JOSÉ";"2302";"8";"36"
"347";"VILA MADRE GERTRUDES I";"2302";"7";"29"
